MinistryName,MinisterName,EventDate,EventTitle,EventLocation,EventParticipants
Ministério da Economia,Paulo Guedes,2020-03-16 10:00, Reunião-geral de secretários do Ministério da Economia,Local: Ministério da Economia – Bloco P,"['Daniella Marques - Assessora Especial de Assuntos Estratégicos', 'Marcelo Guaranys - Secretário Executivo', 'Cinara Lima - Chefe de Gabinete do Ministro da Economia', 'José Tostes - Secretário Especial da Receita Federal', 'Waldery Rodrigues - Secretário Especial de Fazenda', 'Carlos Da Costa - Secretário Especial de Produtividade e Competitividade', 'Yana Dumaresq - Secretária Especial do Comércio Exterior e Assuntos Internacionais - Adjunta', 'Paulo Uebel - Secretário Especial de Desburocratização', 'Gestão e Governo Digital', 'Idalício Silva - Secretário Especial de Desestatização', 'Desinvestimento e Mercados- Adjunto', 'Bruno Bianco - Secretário Especial de Previdência e Trabalho', 'Martha Seillier - Secretária Especial do Programa de Parceiras e Investimentos (PPI)', 'Marcelo Siqueira - Assessor Especial do Ministro', 'Bruno Travassos - Chefe da Assessoria  Especial  de Assuntos Parlamentares', 'Esteves Colnago - Chefe da Assessoria Especial de Relações Institucionais', 'Erica Andrade - Chefe da Assessoria Especial de Comunicação Social', 'Substituta', 'José Levi - Procurador-Geral da Fazenda Nacional', 'Vitor Saback - Assessor Especial do Ministro']"
Ministério da Economia,Paulo Guedes,2020-03-16 12:00,Almoço com os secretários especiais,Local: Ministério da Economia – Bloco P,"['Marcelo Guaranys - Secretário-Executivo       ', 'Daniella Marques - Chefe da Assessoria Assessora Especial de Assuntos Estratégicos     ', 'José Levi - Procurador-Geral da Fazenda Nacional', 'Martha Seillier - Secretária Especial do Programa de Parceiras e Investimentos (PPI)      ', 'José Tostes - Secretário Especial da Receita Federal', 'Waldery Rodrigues - Secretário Especial da Fazenda', 'Paulo Uebel - Secretário Especial de Desburocratização', 'Gestão e Governo Digital      ', 'Bruno Bianco - Secretário Especial de Previdência e Trabalho ', 'Esteves Colnago - Chefe da Assessoria Especial de Relações Institucionais', 'Marcelo Siqueira - Assessor Especial do Ministro            ', 'Samuel Kinoshita - Assessor Especial do Ministro em SP    ', 'Aloísio Araújo - Assessor Especial do Ministro  ']"
Ministério da Economia,Paulo Guedes,2020-03-16 14:30,"Reunião semanal com o secretário especial da Receita Federal, José Tostes",Local: Ministério da Economia – Bloco P,['anessa Canado – Assessora Especial do Ministro']
Ministério da Economia,Paulo Guedes,2020-03-16 16:30,"Reunião semanal com o secretário Especial de Fazenda, Waldery Rodrigues",Local: Ministério da Economia – Bloco P,"['Marcelo Guaranys - Secretário Executivo', 'Daniella Marques - Chefe da Assessoria Especial de Assuntos Estratégicos', 'Jeferson Bittencourt - Secretário Especial da Fazenda Adjunto', 'Caio Megale - Diretor de Programa', 'Adolfo Sachsida - Secretário de Política Econômica', 'Vladimir Teles - Subsecretário de Política Econômica', 'Aumara Feu - Secretaria de Avaliação', 'Planejamento', 'Energia e Loteria Adjunta', 'Pricilla Santana - Subsecretária de Relações Financeiras Intergovernamentais - STN', 'Bruno Funchal - Diretor de Programa', 'Gustavo Guimarães - Diretor de Programa', 'Gustavo Tillmann - Diretor de Programa', 'George Soares - Secretário de Orçamento Federal - SOF']"
Ministério da Economia,Paulo Guedes,2020-02-03 09:00,"Reunião com Martha Seillier, secretária especial do Programa de Parceiras e Investimentos (PPI)",Local: Ministério da Economia – Bloco P,N/A
Ministério da Economia,Paulo Guedes,2020-02-03 10:00,Reunião geral de secretários do Ministro da Economia,Local: Ministério da Economia – Bloco P,"['Marcelo Guaranys- Secretário-Executivo', 'Miguel Ragone - Secretário-Executivo Adjunto', 'Daniella Marques - Chefe da Assessoria Especial de Assuntos Estratégicos', 'Esteves Conalgo – Assessor Especial do Ministro', 'Cinara Lima - Chefe de Gabinete do Ministro da Economia', 'Ricardo Soriano - Secretário Especial da Receita Federal substituto', 'Ana Paula Bittencourt - Subprocuradora-Geral da Fazenda Nacional', 'Waldery Rodrigues - Secretário Especial de Fazenda', 'Jeferson Bittencourt - Secretário Especial de Fazenda adjunto', 'Adolfo Sachsida - Secretário de Política Econômica', 'Mansueto Almeida - Secretário do Tesouro Nacional', 'Diogo Mac Cord - Secretário Especial de Produtividade e Competitividade substituto', 'Bruno Portela - Secretário Especial de Produtividade e Competitividade adjunto', 'Marcos Troyjo - Secretário Especial do Comércio Exterior e Assuntos Internacionais', 'Yana Dumaresq - Secretário Especial do Comércio Exterior e Assuntos Internacionais adjunto', 'Paulo Uebel - Secretário Especial de Desburocratização', 'Gestão e Governo Digital', 'Gleisson Rubin - Secretário Especial de Desburocratização', 'Gestão e Governo Digital - Adjunto', 'Salim Mattar - Secretário Especial de Desestatização', 'Desinvestimento e Mercados', 'Idalício Silva - Secretário Especial de Desestatização', 'Desinvestimento e Mercados- Adjunto', 'Bruno Bianco - Secretário Especial de Previdência e Trabalho', 'Adjunto', 'Marcelo Siqueira - Assessor Especial do Ministro', 'Bruno Travassos - Chefe da Assessoria  Especial  de Assuntos Parlamentares', 'Vitor Saback - Assessor Especial do Ministro', 'Aloísio Araújo - Assessor Especial do Ministro', 'Samuel Kinoshita - Assessor Especial do Ministro em SP', 'Guilherme Afif - Assessor Especial do Ministro', 'Gabriela Valente - Chefe da Assessoria Especial de Comunicação Social', 'Marcelo Dias Varella - Assessor Especial']"
Ministério da Economia,Paulo Guedes,2020-02-03 13:00,Almoço com os secretários especiais,Local: Ministério da Economia – Bloco P,"['Marcelo Guaranys - Secretário-Executivo', 'Daniella Marques – Chefe da Assessoria Especial de Assuntos Estratégicos', 'José Barroso Tostes Neto - Secretário Especial da Receita Federal', 'Waldery Rodrigues - Secretário Especial da Fazenda', 'Marcos Troyjo - Secretário Especial do Comércio Exterior e Assuntos Internacionais', 'Paulo Uebel - Secretário Especial de Desburocratização', 'Gestão e Governo Digital', 'Salim Mattar -Secretário Especial de Desestatização', 'Desinvestimento e Mercados', 'Marcelo Siqueira - Assessor Especial do Ministro', 'Samuel Kinoshita - Assessor Especial do Ministro em SP']"
Ministério da Economia,Paulo Guedes,2020-02-03 14:00,"Reunião com Martha Seillier, secretária especial do Programa de Parceiras e Investimentos (PPI)",Local: Ministério da Economia – Bloco P,"['Martha Seillier', 'Secretária Especial do Programa de Parceiras e Investimentos (PPI)', 'Marcelo Guaranys - Secretário-Executivo', 'Daniella Marques - Assessora Especial de Assuntos Estratégicos', 'Salim Mattar - Secretário Especial de Desestatização', 'Desinvestimento e Mercados', 'Esteves Colnago - Chefe de Assessoria para Assuntos de Relações Institucionais', 'Marcelo Siqueira - Assessor Especial do Ministro', 'Gleisson Rubin - Secretário Especial de Desburocratização', 'Gestão e Governo Digital - Adjunto']"
Ministério da Economia,Paulo Guedes,2020-02-03 16:00,"Reunião semanal com o secretário especial de Desestatização, Desinvestimento e Mercados, Salim Mattar",Local: Ministério da Economia – Bloco P,"['Marcelo Guaranys - Secretário Executivo', 'Daniella Marques - Chefe da Assessoria Especial de Assuntos Estratégicos', 'Idalicio Silva - Secretário Especial de Desestatização', 'Desinvestimento e Mercados', 'Adjunto ', 'Eduardo Jorge - Diretor de Programa', 'Marina Santos - Diretora de Programa', 'Bruno Westin - Diretor de Programa', 'Bernardo Barbosa - Assessor']"
Ministério da Economia,Paulo Guedes,2020-02-03 17:00,"Reunião com o secretário especial da Receita Federal, José Barroso Tostes Neto",Local: Ministério da Economia – Bloco P,N/A
